-147.96298,22.361126
-109.25928,64.7407
-87.592606,83.26859
-71.48148,97.11112
-58.14815,101.79633
-46.851856,98.38887
-44.62964,78.79633
-47.407413,4.685211
-45.555565,-29.175915
-40.185192,-48.342533
-30.370369,-64.31479
-15.1851845,-76.66662
6.4814873,-84.75929
26.296291,-88.37958
48.703716,-90.50929
77.5926,-89.23141
110.37038,-87.52775
128.14816,-86.03704
145.1852,-84.33338
next
-147.5926,-97.75
-102.22223,-91.57408
-69.07407,-86.03704
-25.185184,-78.37042
-14.259259,-76.2407
7.407404,-84.12028
27.592602,-87.7407
49.25926,-90.296196
77.777794,-88.80563
110.925934,-87.10183
127.96298,-85.82408
138.88892,-84.972115
next
